nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai,jumlah_paket_realisasi,total_realisasi,persentase_realisasi,status_realisasi
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Prasarana Dan Sarana Kali/Sungai Dan Kelengkapannya di Wilayah Jakarta Barat (Kali Sodetan Sekertaris dan Tanggul Waduk Tomang),64842370,APBD,Ya,68229437959,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Barang dan Jasa BOSP-BOS Reguler Penyediaan Dana Bantuan Operasional Sekolah (BOS) Reguler Jenjang SMK Negeri,65135866,APBD,Ya,67553065760,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,"Pembangunan Sistem Tata Air Kawasan Fatmawati, Jl H. Nawi Beserta Kelengkapannya",64842476,APBD,Ya,64762589660,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKBAR - 1.01.0.00.0.00.01.0005,2026,Penyedia,Dikecualikan,Jasa Lainnya,Penyediaan Biaya Operasional Pendidikan Sekolah Dasar Negeri (BOP-SDN) Alokasi Dasar (BOSDA),64831617,APBD,Ya,64093474762,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Sistem Tata Air Waduk/ Embung Sunter Hulu TIU Beserta Kelengkapannya,64842998,APBD,Ya,60314411476,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH TARAKAN - 1.02.0.00.0.00.01.0058,2026,Penyedia,Dikecualikan,Barang,BELANJA OBAT-OBATAN DAN BAHAN MEDIS HABIS PAKAI,63564250,BLUD,Ya,60000000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA SELATAN - 1.02.0.00.0.00.01.0004,2026,Penyedia,Tender,Pekerjaan Konstruksi,Pembangunan Puskesmas di Kecamatan Kebayoran Baru,63601796,APBD,Ya,55884808000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA TIMUR - 1.03.0.00.0.00.02.0005,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Belanja Jasa Petugas Sumber Daya Air - Petugas Pengendali Banjir dan Pengelolaan Pantai,64747065,APBD,Ya,54863472326,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKBAR - 1.01.0.00.0.00.01.0006,2026,Penyedia,Dikecualikan,Barang,Penyediaan Biaya Operasional Pendidikan Sekolah Dasar Negeri (BOP SDN) Alokasi Dasar (BOSDA),64677885,APBD,Ya,50230552068,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Tanggul Pengaman Pantai NCICD Fase A Tahap 3 Paket 1,66634471,APBD,Ya,49931833550,0.0,0.0,0.0,BELUM TEREALISASI
