nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,E-Purchasing,Jasa Lainnya,Pengadaan Jasa Pengamanan dan Jasa Kebersihan Rumah Pompa Polder Kamal,62511767,APBD,Ya,1096673300
PROVINSI DKI JAKARTA,DINAS BINA MARGA - 1.03.0.00.0.00.01.0000,2026,Penyedia,Pengadaan Langsung,Jasa Konsultansi,Pengawasan Pemeliharaan Berkala Jalan/Jembatan/FO/Underpass di Provinsi DKI Jakarta (Pekerjaan Beton Fast Track 8 Jam Paket 5 Tahun 2026),67169380,APBD,Ya,100000000
PROVINSI DKI JAKARTA,KELURAHAN KELAPA GADING TIMUR - JAKUT - 7.01.0.00.0.00.02.0027,2026,Penyedia,E-Purchasing,Barang,Penyediaan Snack Kerja Bakti,63158963,APBD,Ya,4950000
PROVINSI DKI JAKARTA,SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA UTARA - 1.03.0.00.0.00.02.0002,2026,Penyedia,Pengadaan Langsung,Jasa Konsultansi,Perencanaan Mitigasi Banjir Rob Kawasan Mandala Bahari,63100959,APBD,Ya,98346000
PROVINSI DKI JAKARTA,PUSKESMAS TANJUNG PRIOK - 1.02.0.00.0.00.01.0100,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Pembayaran Iuran BPJS Kesehatan Petugas Keamanan,63728879,BLUD,Ya,72066184
PROVINSI DKI JAKARTA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,E-Purchasing,Barang,Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Pendidikan Kelompok Kerja Kepala Sekolah Luar Biasa (K3SLB),64830851,APBD,Ya,13000000
PROVINSI DKI JAKARTA,SUKU BADAN PENGELOLAAN ASET DAERAH KOTA - JAKTIM - 5.02.0.00.0.00.02.0005,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Petugas Administrasi - Operasional Pengelolaan Barang Milik Daerah Badan Pengelolaan Aset Daerah,61847368,APBD,Ya,143506350
PROVINSI DKI JAKARTA,PANTI SOSIAL TRESNA WERDHA BUDI MULIA 4 - 1.06.0.00.0.00.01.0014,2026,Penyedia,Dikecualikan,Jasa Lainnya,Penyediaan jasa perizinan KDO/KDO Khusus Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,63211492,APBD,Ya,4113800
PROVINSI DKI JAKARTA,PUSAT PELATIHAN DAN PENGEMBANGAN PENDIDIKAN - JAKTIM - 1.01.0.00.0.00.01.0037,2026,Penyedia,E-Purchasing,Barang,Belanja Makan Minum Pelatihan Pendidikan Inklusi bagi Kepala Sekolah Jenjang SMA,63800155,APBD,Ya,6045000
PROVINSI DKI JAKARTA,KELURAHAN KENARI - JAKPUS - 7.01.0.00.0.00.01.0016,2026,Penyedia,E-Purchasing,Barang,Penyediaan Makan dan Minum 1 x 24 Jam,63000774,APBD,Ya,8283393
